FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,526615,6541,6680,6905,7337,7946,7714,43123,52126,461,471,486,517,560,543,3037,1149,1173,1212,1288,1395,1355,7572,1542,1574,1627,1729,1873,1818,10164,2290,2339,2418,2569,2782,2701,15098,2499,2553,2639,2804,3036,2948,16478,4614,4712,4871,5176,5605,5442,30420,173718,9182,1681,41855,29712,17212,12143,9696,2447
2017,529402,6468,6695,6909,7258,7689,7125,42144,51816,405,422,439,463,492,457,2678,1027,1068,1106,1167,1242,1154,6764,1373,1425,1473,1553,1655,1541,9020,2051,2129,2200,2318,2468,2293,13459,2243,2327,2405,2533,2695,2503,14706,4393,4566,4722,4966,5261,4863,28771,175930,8758,1593,41109,28905,17063,12204,9645,2559
2018,530839,6904,6753,6668,6882,7417,7070,41694,50701,433,425,422,437,473,453,2643,1049,1031,1020,1056,1142,1091,6389,1409,1380,1364,1412,1530,1464,8559,2144,2100,2075,2147,2324,2220,13010,2351,2302,2274,2353,2546,2432,14258,4611,4524,4473,4621,4980,4736,27945,178050,7977,1405,40933,28536,17101,12397,9959,2438
2019,531376,6606,6661,6713,6902,7197,6621,40700,49132,392,397,402,416,437,403,2447,1057,1072,1085,1120,1174,1082,6590,1373,1388,1403,1448,1518,1402,8532,2140,2161,2180,2248,2357,2176,13262,2344,2368,2388,2462,2581,2382,14525,4361,4408,4446,4576,4776,4389,26956,179637,7587,1181,40162,27885,16977,12277,10165,2112
