FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,111493,1402,1328,1290,1332,1465,1525,8342,10177,176,167,162,167,184,192,1048,336,319,310,320,352,366,2002,402,380,370,382,420,437,2390,600,569,552,570,627,653,3572,656,621,603,623,685,713,3900,1120,1061,1031,1064,1171,1219,6665,40480,444,92,8057,4676,2848,3381,2577,804
2017,110801,1349,1306,1281,1329,1458,1453,8176,9669,155,151,149,156,171,171,953,291,283,278,290,319,319,1780,356,346,340,354,391,391,2178,544,528,518,540,594,594,3318,596,579,568,592,652,651,3638,1095,1065,1046,1087,1193,1186,6672,40239,454,48,7940,4759,2897,3181,2341,840
2018,111061,1342,1303,1276,1305,1396,1370,7992,9371,180,175,172,177,190,188,1082,307,299,293,302,323,318,1842,381,370,363,373,401,395,2283,556,540,529,543,583,574,3325,584,567,556,569,612,602,3490,1073,1045,1025,1050,1123,1099,6415,40050,440,39,7814,4571,2803,3243,2246,997
2019,110637,1410,1304,1231,1242,1348,1365,7900,9234,163,152,144,146,160,162,927,315,293,278,281,307,311,1785,394,366,346,350,382,388,2226,584,541,511,517,565,573,3291,607,563,531,538,587,596,3422,1107,1027,969,980,1064,1076,6223,39796,507,27,7581,4279,2702,3302,2501,801
