FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,188454,2452,2163,2014,2099,2473,2693,13894,15956,117,102,95,99,117,128,658,289,257,240,251,295,322,1655,420,371,346,361,426,464,2385,725,640,598,623,734,802,4120,817,725,680,710,834,909,4676,1844,1626,1513,1577,1859,2025,10442,75185,17,45,13484,10021,5918,3463,2960,503
2017,187541,2300,2146,2089,2186,2441,2476,13638,15837,109,100,94,99,113,118,633,276,258,251,265,298,305,1653,415,383,369,388,438,451,2444,714,661,638,669,756,775,4213,798,747,728,766,858,873,4770,1736,1623,1580,1656,1852,1877,10324,75332,81,37,13081,9672,5505,3409,2881,528
2018,186447,2143,2132,2175,2267,2351,2258,13326,15686,129,123,122,126,133,133,766,284,277,275,284,300,295,1715,410,400,397,411,435,428,2481,686,672,674,700,735,715,4182,751,745,754,787,822,793,4652,1635,1624,1651,1720,1788,1718,10136,75206,128,44,12734,9256,5711,3478,2757,721
2019,185516,1820,2047,2264,2388,2340,2095,12954,15777,90,99,107,111,108,96,611,216,240,262,274,269,243,1504,340,376,408,425,420,380,2349,576,642,699,735,724,651,4027,636,712,784,825,811,728,4496,1351,1520,1678,1769,1733,1550,9601,74767,166,75,12405,8970,5784,3435,2822,613
