FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,685378,7796,7885,8115,8699,9668,9756,51919,66528,404,409,421,451,501,506,2693,1003,1015,1044,1119,1244,1255,6681,1356,1371,1411,1513,1682,1697,9031,2038,2061,2121,2274,2527,2550,13570,2244,2270,2336,2504,2783,2808,14945,4753,4808,4948,5304,5895,5948,31656,224959,5293,2458,50982,37604,22976,13378,10678,2700
2017,687727,7910,7912,7982,8431,9311,9112,50658,65738,396,399,405,430,477,468,2575,926,930,942,999,1109,1088,5994,1300,1303,1317,1396,1551,1525,8392,1954,1959,1980,2098,2327,2284,12602,2160,2166,2188,2317,2571,2521,13923,4658,4679,4730,5002,5524,5392,29985,226668,5231,2604,49789,36846,22962,12943,10499,2444
2018,688697,7616,7804,8020,8497,9194,8712,49843,64334,358,369,380,404,440,418,2369,868,893,920,978,1062,1009,5730,1206,1237,1272,1352,1470,1399,7936,1789,1835,1887,2004,2177,2069,11761,1966,2017,2073,2201,2392,2272,12921,4364,4485,4616,4895,5296,5006,28662,227848,5148,2444,49105,36739,23194,12366,10226,2140
2019,689315,7716,7785,7898,8292,8946,8460,49097,62925,328,334,340,359,390,370,2121,827,840,855,902,978,926,5328,1183,1197,1217,1283,1392,1321,7593,1836,1855,1884,1984,2152,2042,11753,1985,2006,2038,2145,2326,2207,12707,4478,4529,4599,4833,5220,4930,28589,229498,5558,2325,48356,36633,22902,11723,9809,1914
