RegionID,RegionName
5480,Scott-Morgan Consolidated Unit SD 2
5554,SD U-46
5725,Sesser-Valier CUSD 196
5793,Shawnee CUSD 84
5727,Shelbyville CUSD 4
5728,Sherrard CUSD 200
5430,Shiloh CUSD 1
5729,Somonauk CUSD 432
5730,South Beloit CUSD 320
5427,South Central CUSD 401
5732,South Fork SD 14
5731,Southeastern CUSD 337
5695,Southwestern CUSD 9
5733,Sparta CUSD 140
5734,Spoon River Valley CUSD 4
5735,Springfield SD 186
5736,St. Charles CUSD 303
5737,St. Elmo CUSD 202
5739,Stark County CUSD 100
5740,Staunton CUSD 6
5741,Steeleville CUSD 138
5786,Sterling CUD 5
5742,Stewardson-Strasburg CUD 5A
5743,Stockton CUSD 206
5745,Sullivan CUSD 300
5746,Sycamore CUSD 427
5748,Taylorville CUSD 3
5749,Teutopolis CUSD 50
5447,Thompsonville CUSD 174
5751,Tolono CUSD 7
5752,Tremont CUSD 702
5754,Tri-City CUSD 1
5755,Tri-Point CUSD 6-J
5556,Tri-Valley CUSD 3
5738,Triad CUSD 2
5493,Trico CUSD 176
5522,Triopia CUSD 27
5756,Tuscola CUSD 301
5442,United Community SD 304
5758,Urbana SD 116
5747,V.I.T. CUSD 2
5759,Valley View CUSD 365U
5760,Valmeyer CUSD 3
5761,Vandalia CUSD 203
5762,Venice CUSD 3
5763,Villa Grove CUSD 302
5765,Virginia CUSD 64
5766,Wabash CUSD 348
5767,Waltonville CUSD 1
5768,Warren CUSD 205
5769,Warrensburg-Latham CUD 11
5770,Warsaw CUSD 316
5772,Waterloo CUSD 5
5773,Wauconda CUSD 118
5774,Waukegan CUSD 60
5775,Waverly CUSD 6
5776,Wayne City CUSD 100
5753,Wesclin CUSD 3
5434,West Carroll CUSD 314
5440,West Central CUSD 235
5439,West Prairie CUSD 103
5780,West Washington County CUD 10
5448,Western CUSD 12
5782,Westmont CUSD 201
5521,Westville CUSD 2
5783,Wethersfield CUSD 230
5787,Williamsfield CUSD 210
5788,Williamsville CUSD 15
5789,Wilmington CUSD 209U
5790,Winchester CUSD 1
5791,Windsor CUSD 1
5792,Winnebago CUSD 323
5744,Woodland CUSD 5
5794,Woodstock CUSD 200
5796,Yorkville CUSD 115
5795,Zeigler-Royalton CUSD 188
