RegionID,RegionName
5522,Triopia CUSD 27
5523,Coulterville Unit SD 1
5524,Crab Orchard CUSD 3
5525,Crete-Monee CUSD 201-U
5526,Fulton County CUSD 3
5527,Dakota CUSD 201
5528,Danville Com Con SD 118
5529,Decatur SD 61
5530,Deer Creek-Mackinaw CUSD 701
5531,DeKalb CUSD 428
5532,DeLand-Weldon CUSD 57
5533,Delavan CUSD 703
5534,Depue CUSD 103
5535,Dieterich CUSD 30
5536,Dixon Unit SD 170
5537,Dongola School Unit District 66
5538,Donovan CUSD 3
5539,Dunlap CUSD 323
5540,Dupo CUSD 196
5541,Du Quoin CUSD 300
5542,Durand CUSD 322
5543,Earlville CUSD 9
5544,East Dubuque CUSD 119
5545,East Richland CUSD 1
5546,East St. Louis SD 189
5547,Edgar County CUD 6
5548,Edinburg CUSD 4
5549,Edwards County CUSD 1
5550,Edwardsville CUSD 7
5551,Effingham CUSD 40
5552,Egyptian CUSD 5
5553,Eldorado CUSD 4
5554,SD U-46
5555,Elverado CUSD 196
5556,Tri-Valley CUSD 3
5557,Elmhurst SD 205
5558,Elmwood CUSD 322
5559,Elmwood Park CUSD 401
5560,Erie CUSD 1
5561,Eureka CUD 140
5562,Fieldcrest CUSD 6
5563,Fisher CUSD 1
5565,Flora CUSD 35
5566,Forrestville Valley CUSD 221
5567,Franklin CUSD 1
5568,CUSD 2
5569,Freeport SD 145
5570,Galatia CUSD 1
5571,Galena Unit SD 120
5572,Galesburg CUSD 205
5573,Galva CUSD 224
5574,Geneseo CUSD 228
5575,Geneva CUSD 304
5576,Genoa-Kingston CUSD 424
5577,Gillespie CUSD 7
5579,Granite City CUSD 9
5580,Grant Park CUSD 6
5581,Grayville CUSD 1
5582,Greenfield CUSD 10
5583,Greenview CUSD 200
5584,Bond County CUSD 2
5585,Griggsville-Perry CUSD 4
5586,Hamilton Com Con SD 328
5587,Calhoun CUSD 40
5588,Hardin County CUSD 1
5589,Harlem Unit SD 122
5590,Harrisburg CUSD 3
5591,Hartsburg-Emden CUSD 21
5592,Harvard CUSD 50
5593,Havana CUSD 126
5594,Herrin CUSD 4
5595,Herscher CUSD 2
5596,Heyworth CUSD 4
5597,Highland CUSD 5
5598,Hillsboro CUSD 3
5599,Hinckley-Big Rock CUSD 429
5600,Hoopeston Area CUSD 11
5601,Huntley Consolidated SD 158
5602,Hutsonville CUSD 1
5603,Illini Bluffs CUSD 327
5604,Illinois Valley Central Unit SD 321
5605,Iroquois County CUSD 9
5606,Iroquois West CUSD 10
5607,Jacksonville SD 117
5609,Jasper County CUSD 1
5610,Jersey CUSD 100
5611,Johnsburg CUSD 12
5612,Johnston City CUSD 1
5613,Kankakee SD 111
5614,Kansas CUSD 3
5615,Kewanee CUSD 229
5616,Hiawatha CUSD 426
5617,Knoxville CUSD 202
5618,La Moille CUSD 303
5619,Lake Zurich CUSD 95
5620,Red Hill CUSD 10
5621,Lawrence County CUD 20
5622,Lebanon CUSD 9
5623,Lee Center CUSD 271
5624,Lena-Winslow CUSD 202
5625,Le Roy CUSD 2
5626,Lexington CUSD 7
5627,Liberty CUSD 2
5628,Leland CUSD 1
5629,Lisle CUSD 202
5630,Litchfield CUSD 12
5631,Brooklyn CUSD 188
5633,Macomb CUSD 185
5634,Madison CUSD 12
5635,Mahomet-Seymour CUSD 3
5636,Manteno CUSD 5
5637,Kaneland CUSD 302
5638,Marion CUSD 2
5639,Marissa CUSD 40
5640,Maroa-Forsyth CUSD 2
5641,Marshall CUSD 2C
5642,Martinsville CUSD 3C
5643,Mascoutah CUSD 19
5644,Massac Unit SD 1
5645,Mattoon CUSD 2
5646,CUSD 4
5647,Meredosia-Chambersburg CUSD 11
5648,Meridian CUSD 223
5649,Moline Unit SD 40
5650,Momence CUSD 1
5651,Monticello CUSD 25
5652,Morrison CUSD 6
5653,Morrisonville CUSD 1
5654,Morton CUSD 709
5655,Meridian CUSD 101
5656,Mount Olive CUSD 5
5657,Mount Pulaski CUD 23
5658,Brown County CUSD 1
5659,Mount Zion CUSD 3
5660,Mulberry Grove CUSD 1
5661,Murphysboro CUSD 186
5662,Naperville CUD 203
5663,Nauvoo-Colusa CUSD 325
5664,Neoga CUSD 3
5666,New Athens CUSD 60
5667,CUSD 16
5668,Nokomis CUSD 22
5669,McLean County Unit SD 5
5670,North Boone CUSD 200
5671,North Clay CUSD 25
5672,Oakland CUSD 5
5673,Oblong CUSD 4
5674,Olympia CUSD 16
5675,ROWVA CUSD 208
5676,Orangeville CUSD 203
5677,Oregon CUSD 220
5678,Orion CUSD 223
5679,Oswego CUSD 308
5680,Palestine CUSD 3
5681,Northwestern CUSD 2
5682,Pana CUSD 8
5683,Panhandle CUSD 2
5684,Paris-Union SD 95
5685,Paris CUSD 4
5686,Patoka CUSD 100
5687,Pawnee CUSD 11
5688,Payson CUSD 1
5689,Pearl City CUSD 200
5690,Pecatonica CUSD 321
5691,Peoria SD 150
5692,Peoria Heights CUSD 325
5693,Peotone CUSD 207U
5694,Porta CUSD 202
5695,Southwestern CUSD 9
5696,Pikeland CUSD 10
5697,Plainfield SD 202
5698,Plano CUSD 88
5699,Pleasant Hill CUSD 3
5700,Pleasant Plains CUSD 8
5701,Polo CUSD 222
5702,Pope County CUSD 1
5703,Princeville CUSD 326
5704,Prophetstown-Lyndon-Tampico CUSD 3
5705,Putnam County CUSD 535
5706,Quincy SD 172
5707,Ramsey CUSD 204
5708,Red Bud CUSD 132
5709,Reed Custer CUSD 255U
5710,Riverdale CUSD 100
5711,River Bend CUD 2
5712,Riverton CUSD 14
5713,Roanoke-Benson CUSD 60
5714,Robinson CUSD 2
5715,Rochester CUSD 3A
5716,Rock Island SD 41
5717,Rockridge CUSD 300
5718,Rockford SD 205
5719,Rossville-Alvin CUSD 7
5720,Round Lake CUSD 116
5721,Roxana CUSD 1
5722,Sandoval CUSD 501
5723,Sandwich CUSD 430
5724,Scales Mound CUSD 211
5725,Sesser-Valier CUSD 196
5726,Indian Creek CUD 425
5727,Shelbyville CUSD 4
5728,Sherrard CUSD 200
5729,Somonauk CUSD 432
5730,South Beloit CUSD 320
5731,Southeastern CUSD 337
5732,South Fork SD 14
5733,Sparta CUSD 140
5734,Spoon River Valley CUSD 4
5735,Springfield SD 186
5736,St. Charles CUSD 303
5737,St. Elmo CUSD 202
5738,Triad CUSD 2
5739,Stark County CUSD 100
5740,Staunton CUSD 6
5741,Steeleville CUSD 138
5742,Stewardson-Strasburg CUD 5A
5743,Stockton CUSD 206
5744,Woodland CUSD 5
5745,Sullivan CUSD 300
5746,Sycamore CUSD 427
5747,V.I.T. CUSD 2
5748,Taylorville CUSD 3
5749,Teutopolis CUSD 50
5750,Cumberland CUSD 77
5751,Tolono CUSD 7
5752,Tremont CUSD 702
5753,Wesclin CUSD 3
5754,Tri-City CUSD 1
5755,Tri-Point CUSD 6-J
5756,Tuscola CUSD 301
5757,Century CUSD 100
5758,Urbana SD 116
5759,Valley View CUSD 365U
5760,Valmeyer CUSD 3
5761,Vandalia CUSD 203
5762,Venice CUSD 3
5763,Villa Grove CUSD 302
5765,Virginia CUSD 64
5766,Wabash CUSD 348
5767,Waltonville CUSD 1
5768,Warren CUSD 205
5769,Warrensburg-Latham CUD 11
5770,Warsaw CUSD 316
5771,Lowpoint-Washburn CUSD 21
5772,Waterloo CUSD 5
5773,Wauconda CUSD 118
5774,Waukegan CUSD 60
5775,Waverly CUSD 6
5776,Wayne City CUSD 100
5777,Frankfort CUSD 168
5778,Indian Prairie CUSD 204
5780,West Washington County CUD 10
5782,Westmont CUSD 201
5783,Wethersfield CUSD 230
5784,CUSD 200
5785,North Greene Unit SD 3
5786,Sterling CUD 5
5787,Williamsfield CUSD 210
5788,Williamsville CUSD 15
5789,Wilmington CUSD 209U
5790,Winchester CUSD 1
5791,Windsor CUSD 1
5792,Winnebago CUSD 323
5793,Shawnee CUSD 84
5794,Woodstock CUSD 200
5795,Zeigler-Royalton CUSD 188
5796,Yorkville CUSD 115
5797,Midwest Central CUSD 191
6041,Flanagan-Cornell District 74
6042,Mercer County SD 404
8572,North Mac Community Unit SD 34
8573,Odin Public SD 722
9066,Abingdon-Avon Community Unit SD 276
9220,Milford Area Public SD 124
9221,Salt Fork Community Unit SD 512
