FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,111084,1123,1182,1230,1232,1194,1115,7076,7800,176,181,185,185,186,175,1089,320,331,342,342,337,315,1986,433,451,464,464,451,421,2685,568,591,612,615,601,560,3549,584,608,629,631,616,576,3646,938,985,1026,1027,999,932,5905,43342,93,404,6794,4127,2550,2667,2011,656
2017,110316,1428,1266,1160,1113,1116,1074,7157,7716,244,207,184,179,187,189,1190,445,378,336,323,334,332,2148,591,511,459,443,452,443,2899,746,653,594,576,585,567,3721,778,683,623,603,611,592,3890,1183,1052,970,932,935,897,5969,43529,155,375,6750,4070,2334,2680,1970,710
2018,109205,1458,1172,1014,1008,1166,1262,7080,7262,292,228,196,197,236,264,1413,521,413,357,357,422,464,2534,663,526,451,451,530,583,3204,827,661,569,570,665,727,4019,847,678,584,584,682,745,4120,1233,994,859,853,989,1067,5995,43216,110,449,6678,3695,2024,2983,2100,883
2019,107966,1353,1173,1084,1080,1149,1116,6955,6993,230,203,189,189,201,196,1208,461,413,388,387,407,390,2446,592,524,487,487,515,499,3104,757,673,629,631,666,643,3999,783,695,648,649,685,661,4121,1155,998,921,918,980,955,5927,43219,113,358,6608,3689,1964,2919,2106,813
