FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,108404,1553,1299,1157,1191,1436,1606,8242,9471,362,303,270,278,335,374,1922,587,491,437,450,542,607,3114,675,565,503,518,625,698,3585,810,678,604,621,749,838,4300,831,695,619,638,769,860,4413,1271,1063,947,974,1175,1314,6744,44860,89,88,7917,3995,2807,3922,3306,616
2017,107587,1284,1276,1277,1333,1444,1395,8009,8856,269,269,272,286,310,300,1706,446,446,448,469,511,495,2815,530,528,530,555,604,587,3334,647,644,646,676,736,713,4062,669,668,669,700,762,737,4205,1063,1061,1063,1111,1204,1161,6663,44310,51,81,7679,3819,2739,3860,3167,693
2018,106512,1384,1311,1255,1265,1339,1255,7809,8621,268,255,245,248,264,248,1528,449,427,409,414,440,413,2552,544,516,494,500,531,500,3085,662,628,602,608,646,608,3754,691,655,628,634,673,633,3914,1136,1080,1036,1045,1106,1033,6436,44113,54,66,7515,3942,2918,3573,2858,715
2019,105528,1382,1308,1250,1251,1313,1240,7744,8548,250,238,229,230,243,230,1420,430,409,393,395,416,394,2437,533,506,485,487,513,487,3011,651,617,591,593,626,593,3671,685,649,621,623,658,624,3860,1134,1076,1030,1031,1083,1022,6376,43912,49,83,7477,3925,2811,3552,2813,739
