FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,4962,32,46,61,65,52,38,294,313,2,2,3,3,3,2,15,6,8,11,12,10,7,54,7,11,14,15,12,9,68,12,17,22,24,19,14,107,13,18,24,26,21,15,118,28,40,53,57,45,33,256,1936,0,0,240,176,117,64,58,6
2017,4897,24,41,62,70,51,32,280,383,2,3,5,5,4,2,21,5,9,14,16,12,7,63,7,11,17,20,14,9,78,10,17,26,29,21,13,116,11,19,28,32,23,14,127,17,30,45,51,37,23,203,1881,0,0,232,166,137,66,60,6
2018,4858,23,44,71,73,42,20,273,385,2,4,6,7,4,2,25,5,9,14,15,9,4,56,6,11,18,18,11,5,69,9,17,27,27,16,8,104,9,17,28,28,16,8,106,14,28,45,46,26,13,172,1805,0,0,245,204,171,41,38,3
2019,4830,46,49,51,51,46,32,275,367,3,3,3,3,3,2,17,8,8,9,9,8,6,48,9,10,10,10,9,6,54,12,13,14,14,12,8,73,13,14,14,14,13,9,77,26,28,29,29,26,18,156,1664,0,0,283,247,219,36,33,3
