FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,5227575,62617,65805,68523,69729,68175,60231,395080,419323,6748,7092,7385,7515,7347,6491,42579,15355,16137,16803,17099,16718,14770,96883,20095,21118,21990,22377,21879,19329,126789,27168,28552,29731,30254,29580,26133,171418,28750,30214,31462,32016,31302,27655,181399,43907,46143,48049,48894,47805,42234,277033,1951606,74747,81344,385641,237868,139713,147773,117343,30430
2017,5238541,61246,65569,68605,69687,67401,57410,389918,409532,6298,6794,7156,7310,7096,6056,40710,14080,15140,15898,16215,15761,13462,90556,18849,20228,21210,21628,21041,17998,120954,25548,27419,28738,29279,28447,24298,163729,26990,28968,30354,30917,30028,25635,172892,41876,45022,47202,48002,46427,39445,267974,1956561,72553,80149,381446,236784,138183,144662,115662,29000
2018,5223719,60523,64740,67717,68671,66157,56155,383963,405343,5879,6314,6632,6753,6539,5573,37690,13261,14234,14926,15186,14683,12491,84781,17962,19239,20147,20490,19836,16905,114579,24508,26247,27473,27926,27020,22994,156168,26013,27858,29153,29629,28660,24384,165697,40791,43773,45850,46533,44828,37960,259735,1963070,71298,80201,376162,234106,138608,142056,113490,28566
2019,5198275,60125,63890,66452,67119,64587,54821,376994,400069,5372,5740,5994,6088,5901,5029,34124,12318,13164,13742,13939,13482,11471,78116,16791,17901,18664,18922,18311,15601,106190,23263,24766,25785,26120,25270,21525,146729,24855,26459,27540,27892,26979,22977,156702,39552,42137,43863,44342,42717,36218,248829,1972108,70657,72253,368512,232248,140222,136264,110637,25627
