FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016.00,5325.00,34.00,48.00,66.00,82.00,87.00,79.00,396.00,393.00,4.00,6.00,8.00,10.00,10.00,9.00,47.00,7.00,9.00,13.00,16.00,17.00,16.00,78.00,9.00,13.00,18.00,23.00,24.00,22.00,110.00,17.00,24.00,33.00,40.00,43.00,39.00,196.00,19.00,27.00,38.00,47.00,50.00,45.00,225.00,30.00,42.00,58.00,72.00,77.00,70.00,350.00,2295.00,0.00,5.00,350.00,222.00,126.00,128.00,94.00,34.00
2017.00,5226.00,87.00,60.00,46.00,43.00,52.00,64.00,352.00,430.00,10.00,7.00,5.00,5.00,6.00,8.00,41.00,19.00,13.00,10.00,10.00,11.00,14.00,77.00,26.00,18.00,14.00,13.00,15.00,19.00,105.00,46.00,31.00,24.00,23.00,27.00,34.00,185.00,53.00,37.00,28.00,26.00,32.00,40.00,216.00,67.00,46.00,35.00,33.00,40.00,49.00,270.00,2272.00,0.00,7.00,317.00,210.00,146.00,107.00,97.00,10.00
2018.00,5157.00,110.00,52.00,30.00,28.00,45.00,75.00,340.00,378.00,27.00,13.00,7.00,7.00,11.00,19.00,84.00,47.00,22.00,13.00,12.00,19.00,32.00,145.00,54.00,26.00,15.00,14.00,22.00,37.00,168.00,72.00,34.00,20.00,18.00,30.00,50.00,224.00,77.00,36.00,21.00,20.00,31.00,53.00,238.00,103.00,49.00,28.00,26.00,42.00,70.00,318.00,2314.00,0.00,8.00,329.00,153.00,99.00,176.00,81.00,95.00
2019.00,5064.00,87.00,53.00,37.00,34.00,45.00,60.00,316.00,357.00,22.00,13.00,9.00,8.00,11.00,15.00,78.00,36.00,22.00,15.00,14.00,18.00,25.00,130.00,39.00,24.00,17.00,15.00,20.00,27.00,142.00,51.00,31.00,22.00,20.00,27.00,36.00,187.00,55.00,33.00,23.00,21.00,28.00,38.00,198.00,82.00,50.00,35.00,32.00,42.00,57.00,298.00,2293.00,0.00,8.00,306.00,147.00,74.00,159.00,58.00,101.00
