FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,702890,7298,7839,8431,9091,9681,9246,51586,64028,475,510,549,592,630,602,3359,1073,1153,1240,1337,1424,1360,7588,1512,1625,1747,1884,2006,1916,10691,2295,2465,2651,2859,3044,2907,16220,2455,2637,2836,3058,3257,3110,17353,4325,4645,4996,5387,5737,5479,30571,243276,7257,4480,51036,37409,23616,13627,11477,2150
2017,704476,7433,7851,8257,8816,9447,8914,50718,64143,421,449,475,510,549,519,2923,997,1057,1116,1197,1289,1220,6876,1425,1509,1590,1705,1837,1741,9807,2158,2285,2407,2578,2775,2626,14829,2289,2424,2554,2733,2942,2781,15723,4270,4530,4774,5103,5468,5146,29291,244523,6914,4813,50381,37222,23403,13159,11176,1983
2018,703619,7799,7901,8034,8437,9076,8557,49804,63089,470,477,487,514,556,526,3030,993,1009,1029,1084,1170,1105,6390,1539,1562,1589,1674,1809,1713,9886,2255,2287,2327,2450,2646,2502,14467,2396,2430,2473,2602,2811,2656,15368,4448,4520,4602,4838,5204,4894,28506,244672,6622,5037,49556,37112,23063,12444,10625,1819
2019,701473,7180,7692,8162,8651,9018,8286,48989,62736,378,406,434,462,485,447,2612,824,889,946,1007,1055,972,5693,1284,1379,1468,1562,1637,1509,8839,1950,2093,2224,2364,2477,2284,13392,2086,2239,2378,2527,2648,2441,14319,4012,4309,4576,4855,5066,4649,27467,246122,6645,4983,48582,36240,22993,12342,10738,1604
