FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,342552,4675,4177,3901,3984,4493,4673,25903,29531,745,677,639,654,733,756,4204,1334,1206,1136,1163,1305,1349,7494,1641,1480,1392,1423,1599,1654,9190,2243,2023,1901,1944,2185,2261,12556,2377,2146,2016,2063,2317,2397,13317,3846,3449,3230,3301,3716,3858,21399,132704,2240,1272,25245,13450,8803,11795,9986,1809
2017,341150,4296,4134,4063,4172,4443,4241,25349,29365,638,635,638,662,702,663,3938,1171,1151,1148,1186,1262,1200,7118,1456,1422,1414,1460,1559,1484,8795,1992,1949,1936,1999,2131,2024,12031,2107,2067,2054,2121,2258,2143,12750,3514,3412,3372,3470,3690,3504,20962,133200,1933,1242,24670,12956,8441,11714,9856,1858
2018,339780,4204,4181,4160,4204,4289,3900,24938,29344,648,650,651,660,674,614,3897,1234,1239,1240,1256,1279,1161,7409,1507,1506,1504,1525,1556,1416,9014,1982,1981,1977,2002,2043,1856,11841,2103,2105,2102,2129,2169,1968,12576,3407,3409,3403,3440,3499,3167,20325,133339,1920,1270,24095,12262,7889,11833,9926,1907
2019,338356,4206,4201,4175,4187,4220,3796,24785,29009,540,544,542,547,552,497,3222,1167,1175,1175,1181,1189,1069,6956,1469,1475,1471,1479,1491,1344,8729,2014,2020,2012,2021,2037,1834,11938,2120,2128,2119,2127,2142,1929,12565,3353,3360,3344,3355,3377,3032,19821,133350,1817,917,23948,12254,7764,11694,9853,1841
