FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,930514,10147,10655,11151,11576,11785,10993,66307,78599,380,399,417,433,441,411,2480,1002,1052,1101,1143,1164,1086,6549,1439,1511,1581,1641,1671,1559,9401,2265,2378,2489,2583,2630,2453,14798,2436,2558,2677,2779,2829,2639,15919,5170,5428,5681,5898,6004,5601,33782,338987,6287,9662,65861,53997,33193,11864,10053,1811
2017,931826,10114,10749,11235,11583,11609,10329,65619,77910,339,363,382,395,398,355,2232,908,969,1016,1051,1059,945,5948,1313,1399,1464,1516,1529,1366,8587,2091,2228,2332,2412,2428,2167,13658,2269,2418,2531,2617,2633,2349,14817,4932,5264,5513,5691,5704,5061,32165,340669,6265,9556,65312,53613,33343,11699,10277,1422
2018,931743,10662,10888,11040,11263,11465,10492,65810,77056,368,378,384,394,403,370,2297,915,938,953,975,997,914,5692,1335,1366,1386,1418,1451,1333,8289,2125,2173,2204,2254,2305,2115,13176,2296,2347,2381,2434,2488,2283,14229,4991,5113,5191,5301,5396,4926,30918,341823,5763,9577,65482,53795,33375,11687,10487,1200
2019,929060,10734,10796,10836,11065,11424,10599,65454,76082,389,393,396,406,423,394,2401,841,851,857,879,912,848,5188,1226,1238,1245,1276,1325,1234,7544,2012,2028,2037,2086,2165,2016,12344,2181,2197,2206,2259,2344,2183,13370,4836,4877,4899,5007,5175,4796,29590,342791,5060,9277,65065,53264,34130,11801,10429,1372
