FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,256674,3022,2907,2914,2981,3090,3092,18006,21353,217,213,219,226,231,230,1334,454,444,452,464,475,472,2761,692,678,688,705,721,715,4201,1002,981,1000,1022,1042,1029,6074,1115,1088,1107,1134,1160,1147,6752,2119,2067,2097,2147,2197,2175,12802,98218,412,1173,17618,12555,7723,5063,4554,509
2017,255707,2831,2961,3067,3114,3070,2813,17856,20064,220,224,230,237,245,234,1390,442,460,475,486,491,460,2814,660,686,710,726,727,677,4186,943,991,1028,1048,1039,956,6005,1040,1092,1131,1154,1146,1058,6621,1939,2046,2135,2173,2133,1946,12372,98164,456,1154,17501,12620,7449,4881,4147,734
2018,254792,2767,2881,3000,3088,3110,2884,17730,19697,193,195,201,206,215,207,1217,421,428,439,453,466,445,2652,658,674,694,715,733,695,4169,943,979,1017,1050,1064,993,6046,1034,1072,1112,1147,1164,1086,6615,1908,1994,2084,2145,2152,1990,12273,98014,540,1029,17356,12750,7817,4606,3755,851
2019,253553,2626,2819,3018,3119,3062,2775,17419,19731,197,209,222,230,229,213,1300,451,468,491,506,508,474,2898,643,669,706,726,727,677,4148,920,968,1026,1058,1051,970,5993,998,1052,1114,1153,1145,1051,6513,1798,1922,2054,2121,2083,1887,11865,97643,629,713,17002,12548,8093,4454,3457,997
