GEOID,County,PI_HV,HS_HV,EHS_HV,MIECHV,HFI By Service,PTS,Total Slots
0400000US17,Illinois,17391,925,3430,484,1446,1539,25215
0500000US17001,Adams,68,0,10,0,35,0,113
0500000US17003,Alexander,50,0,0,0,0,0,50
0500000US17005,Bond,90,0,0,0,45,0,135
0500000US17007,Boone,0,0,0,0,0,0,0
0500000US17009,Brown,17,0,21,0,0,0,38
0500000US17011,Bureau,36,0,6,0,0,0,42
0500000US17013,Calhoun,51,0,0,0,0,0,51
0500000US17015,Carroll,54,0,0,0,0,0,54
0500000US17017,Cass,48,0,11,0,0,0,59
0500000US17019,Champaign,350,37,39,0,0,0,426
0500000US17021,Christian,39,0,32,0,0,0,71
0500000US17023,Clark,0,0,0,0,0,0,0
0500000US17025,Clay,81,0,11,0,44,0,136
0500000US17027,Clinton,0,12,54,0,0,0,66
0500000US17029,Coles,60,0,0,0,0,0,60
0500000US17031,Cook,8764,416,1648,188,402,665,12083
0500000US17033,Crawford,114,0,0,0,0,0,114
0500000US17035,Cumberland,0,8,0,0,0,0,8
0500000US17037,DeKalb,61,0,0,0,21,0,82
0500000US17039,DeWitt,0,0,0,0,8,0,8
0500000US17041,Douglas,0,0,0,0,0,0,0
0500000US17043,DuPage,977,0,103,0,221,88,1389
0500000US17045,Edgar,87,0,0,0,0,0,87
0500000US17047,Edwards,0,13,47,0,0,0,60
0500000US17049,Effingham,145,0,41,0,0,0,186
0500000US17051,Fayette,26,0,21,0,51,0,98
0500000US17053,Ford,0,0,11,0,0,0,11
0500000US17055,Franklin,60,0,42,0,0,0,102
0500000US17057,Fulton,20,0,28,0,0,0,48
0500000US17059,Gallatin,0,0,0,0,0,0,0
0500000US17061,Greene,160,0,0,0,0,0,160
0500000US17063,Grundy,32,0,0,0,0,0,32
0500000US17065,Hamilton,37,0,0,0,0,0,37
0500000US17067,Hancock,20,0,11,0,0,0,31
0500000US17069,Hardin,0,0,0,0,0,0,0
0500000US17071,Henderson,22,0,0,0,0,0,22
0500000US17073,Henry,155,0,0,0,0,0,155
0500000US17075,Iroquois,0,0,11,0,24,0,35
0500000US17077,Jackson,241,0,0,0,93,0,334
0500000US17079,Jasper,0,0,0,0,0,0,0
0500000US17081,Jefferson,35,0,0,0,0,46,81
0500000US17083,Jersey,50,0,0,0,0,0,50
0500000US17085,Jo Daviess,55,0,0,0,0,0,55
0500000US17087,Johnson,0,0,0,0,0,0,0
0500000US17089,Kane,816,0,98,36,59,144,1153
0500000US17091,Kankakee,245,0,0,16,0,36,297
0500000US17093,Kendall,0,0,0,0,0,4,4
0500000US17095,Knox,84,0,24,0,0,0,108
0500000US17097,Lake,364,0,30,0,35,56,485
0500000US17099,LaSalle,52,0,36,0,0,0,88
0500000US17101,Lawrence,0,0,0,0,0,0,0
0500000US17103,Lee,125,0,6,0,0,0,131
0500000US17105,Livingston,0,0,22,0,55,0,77
0500000US17107,Logan,50,0,19,0,0,0,69
0500000US17115,Macon,253,0,13,75,20,0,361
0500000US17117,Macoupin,56,48,0,0,41,0,145
0500000US17119,Madison,250,21,286,0,36,0,593
0500000US17121,Marion,0,36,10,0,0,32,78
0500000US17123,Marshall,0,0,5,0,0,0,5
0500000US17125,Mason,40,0,0,0,0,0,40
0500000US17127,Massac,0,0,12,0,0,0,12
0500000US17109,McDonough,20,0,11,0,0,0,31
0500000US17111,McHenry,249,28,0,0,0,0,277
0500000US17113,McLean,75,0,32,0,28,0,135
0500000US17129,Menard,0,0,11,0,0,0,11
0500000US17131,Mercer,21,0,0,0,0,0,21
0500000US17133,Monroe,0,0,0,0,0,0,0
0500000US17135,Montgomery,91,0,11,0,0,0,102
0500000US17137,Morgan,114,0,0,0,0,0,114
0500000US17139,Moultrie,40,0,0,0,0,0,40
0500000US17141,Ogle,0,0,12,0,0,0,12
0500000US17143,Peoria,371,0,87,15,0,120,593
0500000US17145,Perry,12,0,0,0,0,0,12
0500000US17147,Piatt,0,0,0,0,1,0,1
0500000US17149,Pike,45,0,10,0,0,0,55
0500000US17151,Pope,0,0,0,0,0,0,0
0500000US17153,Pulaski,0,0,8,0,0,0,8
0500000US17155,Putnam,0,0,0,0,0,0,0
0500000US17157,Randolph,45,0,0,0,0,0,45
0500000US17159,Richland,114,0,0,0,0,0,114
0500000US17161,Rock Island,95,12,0,0,60,0,167
0500000US17165,Saline,18,74,82,0,0,0,174
0500000US17167,Sangamon,208,0,56,0,37,32,333
0500000US17169,Schuyler,28,0,10,0,0,0,38
0500000US17171,Scott,0,0,10,0,0,0,10
0500000US17173,Shelby,65,0,0,0,0,0,65
0500000US17163,St. Clair,440,51,59,27,0,73,650
0500000US17175,Stark,0,0,0,0,0,0,0
0500000US17177,Stephenson,127,0,0,23,36,89,275
0500000US17179,Tazewell,115,0,0,0,0,14,129
0500000US17181,Union,0,0,10,0,0,0,10
0500000US17183,Vermilion,92,0,32,40,0,57,221
0500000US17185,Wabash,40,0,0,0,0,0,40
0500000US17187,Warren,35,0,0,0,0,0,35
0500000US17189,Washington,0,0,0,0,0,0,0
0500000US17191,Wayne,55,45,39,0,0,0,139
0500000US17193,White,0,12,36,0,0,0,48
0500000US17195,Whiteside,55,0,19,0,88,0,162
0500000US17197,Will,180,0,144,0,0,0,324
0500000US17199,Williamson,0,0,43,0,0,0,43
0500000US17201,Winnebago,301,112,0,64,0,83,560
0500000US17203,Woodford,0,0,0,0,6,0,6
