FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,307083,2974,3272,3555,3746,3766,3497,20810,27647,126,139,151,159,160,149,884,372,409,444,468,470,437,2600,489,538,584,615,619,575,3419,722,794,863,909,914,849,5051,794,874,950,1001,1006,934,5559,1697,1867,2029,2138,2149,1996,11876,110109,1507,794,20478,16148,10615,4330,3411,919
2017,308043,2730,3191,3607,3854,3795,3317,20494,28063,110,129,147,159,156,137,838,284,333,378,404,400,351,2150,381,446,505,542,537,471,2882,587,688,779,834,826,724,4438,663,776,879,942,931,817,5008,1507,1770,2003,2144,2111,1840,11375,110860,1462,788,20087,15752,10258,4335,3375,960
2018,307789,2928,3220,3470,3650,3688,3333,20289,27349,112,124,135,142,145,131,789,287,316,341,360,365,331,2000,398,439,474,500,508,460,2779,592,651,702,740,751,681,4117,670,738,796,838,850,770,4662,1637,1807,1950,2052,2074,1869,11389,111812,1644,828,19906,15953,10139,3953,3141,812
2019,307714,2841,3147,3430,3679,3820,3516,20433,26681,126,139,152,164,172,159,912,300,334,366,394,411,379,2184,386,429,469,505,527,487,2803,566,629,686,738,770,712,4101,635,705,769,827,864,798,4598,1590,1765,1926,2068,2149,1976,11474,112453,1618,737,19961,15513,10233,4448,3578,870
