FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,288896,3817,3542,3389,3482,3869,3948,22047,24972,669,621,594,610,678,692,3863,1170,1085,1038,1067,1186,1210,6756,1418,1315,1259,1293,1437,1466,8188,1929,1790,1713,1760,1956,1995,11144,2055,1907,1824,1874,2083,2125,11868,3211,2979,2851,2929,3254,3321,18545,114299,1847,1242,21524,11182,7457,10342,8778,1564
2017,287512,3408,3489,3558,3691,3861,3581,21588,24278,561,578,593,619,650,604,3605,993,1022,1046,1088,1144,1065,6358,1218,1250,1278,1331,1401,1304,7782,1675,1719,1756,1827,1921,1786,10684,1784,1831,1870,1945,2044,1900,11374,2847,2926,2990,3106,3249,3006,18124,114491,1639,1199,21009,10796,6825,10213,8578,1635
2018,286174,3486,3579,3627,3657,3626,3207,21182,24472,552,569,579,586,584,519,3389,1060,1092,1110,1123,1117,991,6493,1284,1319,1339,1354,1348,1198,7842,1689,1735,1760,1778,1771,1571,10304,1804,1854,1880,1900,1891,1677,11006,2879,2965,3009,3036,3009,2656,17554,114608,1552,1223,20464,10151,6463,10313,8633,1680
2019,284819,3579,3617,3613,3594,3532,3135,21070,24155,476,484,485,485,480,428,2838,1034,1051,1054,1053,1040,925,6157,1293,1311,1312,1311,1295,1154,7676,1776,1798,1798,1794,1773,1579,10518,1875,1899,1898,1893,1870,1666,11101,2900,2938,2937,2925,2878,2552,17130,114779,1426,854,20337,10109,6313,10228,8666,1562
