FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,173254,2349,2083,1924,1955,2205,2343,12859,14929,158,141,130,132,149,158,867,322,285,263,268,302,321,1761,496,440,406,413,465,495,2714,739,656,606,615,694,738,4048,824,730,675,686,773,822,4509,1564,1387,1281,1302,1468,1560,8563,65956,358,1056,12507,9375,5758,3132,2843,289
2017,173231,2067,2104,2119,2135,2136,1967,12528,13913,159,163,165,168,168,155,978,281,287,290,294,295,272,1719,435,443,448,453,455,420,2654,640,653,659,666,669,618,3905,707,722,728,735,738,681,4311,1314,1343,1355,1367,1367,1255,8001,66070,413,1081,12231,9237,5412,2994,2584,410
2018,173219,1956,2028,2085,2152,2206,2056,12483,13733,139,145,150,155,160,150,899,269,280,288,299,307,286,1729,426,443,455,471,485,454,2734,620,644,663,686,706,659,3978,683,709,729,754,777,725,4377,1249,1299,1338,1381,1417,1317,8001,66159,496,991,12178,9239,5610,2939,2454,485
2019,172578,1767,1966,2133,2226,2188,1959,12239,13691,137,152,166,174,172,155,956,266,297,323,339,335,300,1860,383,427,465,487,482,433,2677,556,620,674,705,696,626,3877,607,677,735,770,761,682,4232,1103,1231,1337,1396,1374,1228,7669,65845,571,659,11920,8982,5827,2938,2335,603
