FY,pop,pop,pop,pop,pop,pop,pop,pop,pop,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,2,2,2,2,2,2,4,4,4,4,4,4,4,lang,lang,lang,Working,Working,Working,Working,Working,Working
Fiscal Year,Total Number of Persons,0,1,2,3,4,5,0 - 5,6 - 12,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,0,1,2,3,4,5,0 - 5,Number of Households,Number of limited English-speaking households (Spanish),Number of limited English-speaking households (other languages),Children 5 and under living in families,Children 5 and under living with two parents,Children 5 and under living with two working parents,Children 5 and under living with one parent,Children 5 and under living with one working parent,Children 5 and under living with one non-working parent
2016,211215,2474,2393,2385,2485,2696,2703,15136,17951,279,270,270,281,305,305,1710,705,682,681,709,768,771,4314,825,799,796,830,900,903,5052,992,955,949,989,1075,1079,6038,1036,997,991,1032,1122,1128,6306,1902,1836,1828,1905,2069,2075,11616,88171,86,392,14606,8579,6345,6027,4920,1107
2017,210550,2611,2374,2253,2345,2703,2842,15128,17461,269,247,234,246,283,299,1578,765,701,668,698,807,851,4490,875,798,760,794,920,970,5117,1032,938,889,928,1078,1140,6005,1083,981,930,970,1127,1192,6283,1963,1787,1696,1768,2041,2147,11402,88903,58,377,14597,8351,6116,6246,5268,978
2018,210028,2622,2337,2184,2279,2674,2850,14946,17065,287,261,247,259,302,321,1677,737,665,626,656,770,818,4272,857,771,724,758,891,950,4951,1017,912,856,895,1052,1122,5854,1079,965,904,945,1112,1187,6192,1937,1728,1617,1686,1980,2108,11056,88859,64,336,14263,8153,5990,6110,5073,1037
2019,209167,2577,2376,2275,2318,2520,2569,14635,16839,274,260,253,259,283,285,1614,691,650,630,645,700,711,4027,816,765,739,757,823,837,4737,1008,941,907,927,1010,1028,5821,1059,986,949,970,1057,1077,6098,1894,1752,1679,1712,1863,1897,10797,88899,72,292,13956,8112,5889,5844,4944,900
